Country_name,URL_tag
China,china
Afghanistan,afghanistan
Albania,albania
Algeria,algeria
Andorra,andorra
Angola,angola
Anguilla,anguilla
Antigua and Barbuda,antigua-and-barbuda
Argentina,argentina
Armenia,armenia
Aruba,aruba
Australia,australia
Austria,austria
Azerbaijan,azerbaijan
Bahamas,bahamas
Bahrain,bahrain
Bangladesh,bangladesh
Barbados,barbados
Belarus,belarus
Belgium,belgium
Belize,belize
Benin,benin
Bermuda,bermuda
Bhutan,bhutan
Bolivia,bolivia
Bosnia and Herzegovina,bosnia-and-herzegovina
Botswana,botswana
Brazil,brazil
British Virgin Islands,british-virgin-islands
Brunei,brunei-darussalam
Bulgaria,bulgaria
Burkina Faso,burkina-faso
Burundi,burundi
Cabo Verde,cabo-verde
Cambodia,cambodia
Cameroon,cameroon
Canada,canada
CAR,central-african-republic
Caribbean Netherlands,caribbean-netherlands
Cayman Islands,cayman-islands
Chad,chad
Channel Islands,channel-islands
Chile,chile
Colombia,colombia
Comoros,comoros
Congo,congo
Costa Rica,costa-rica
Croatia,croatia
Cuba,cuba
Curacao,curacao
Cyprus,cyprus
Czechia,czech-republic
Denmark,denmark
Djibouti,djibouti
Dominica,dominica
Dominican Republic,dominican-republic
DRC,democratic-republic-of-the-congo
Ecuador,ecuador
Egypt,egypt
El Salvador,el-salvador
Equatorial Guinea,equatorial-guinea
Eritrea,eritrea
Estonia,estonia
Eswatini,swaziland
Ethiopia,ethiopia
Faeroe Islands,faeroe-islands
Falkland Islands,falkland-islands-malvinas
Fiji,fiji
Finland,finland
France,france
French Guiana,french-guiana
French Polynesia,french-polynesia
Gabon,gabon
Gambia,gambia
Georgia,georgia
Germany,germany
Ghana,ghana
Gibraltar,gibraltar
Greece,greece
Greenland,greenland
Grenada,grenada
Guadeloupe,guadeloupe
Guatemala,guatemala
Guinea,guinea
Guinea-Bissau,guinea-bissau
Guyana,guyana
Haiti,haiti
Honduras,honduras
Hong Kong,china-hong-kong-sar
Hungary,hungary
Iceland,iceland
India,india
Indonesia,indonesia
Iran,iran
Iraq,iraq
Ireland,ireland
Isle of Man,isle-of-man
Israel,israel
Italy,italy
Ivory Coast,cote-d-ivoire
Jamaica,jamaica
Japan,japan
Jordan,jordan
Kazakhstan,kazakhstan
Kenya,kenya
Kuwait,kuwait
Kyrgyzstan,kyrgyzstan
Laos,laos
Latvia,latvia
Lebanon,lebanon
Lesotho,lesotho
Liberia,liberia
Libya,libya
Liechtenstein,liechtenstein
Lithuania,lithuania
Luxembourg,luxembourg
Macao,china-macao-sar
Madagascar,madagascar
Malawi,malawi
Malaysia,malaysia
Maldives,maldives
Mali,mali
Malta,malta
Martinique,martinique
Mauritania,mauritania
Mauritius,mauritius
Mayotte,mayotte
Mexico,mexico
Moldova,moldova
Monaco,monaco
Mongolia,mongolia
Montenegro,montenegro
Montserrat,montserrat
Morocco,morocco
Mozambique,mozambique
Myanmar,myanmar
Namibia,namibia
Nepal,nepal
Netherlands,netherlands
New Caledonia,new-caledonia
New Zealand,new-zealand
Nicaragua,nicaragua
Niger,niger
Nigeria,nigeria
North Macedonia,macedonia
Norway,norway
Oman,oman
Pakistan,pakistan
Palestine,state-of-palestine
Panama,panama
Papua New Guinea,papua-new-guinea
Paraguay,paraguay
Peru,peru
Philippines,philippines
Poland,poland
Portugal,portugal
Qatar,qatar
Romania,romania
Russia,russia
Rwanda,rwanda
Reunion,reunion
South Korea,south-korea
Saint Kitts and Nevis,saint-kitts-and-nevis
Saint Lucia,saint-lucia
Saint Martin,saint-martin
Saint Pierre Miquelon,saint-pierre-and-miquelon
San Marino,san-marino
Sao Tome and Principe,sao-tome-and-principe
Saudi Arabia,saudi-arabia
Senegal,senegal
Serbia,serbia
Seychelles,seychelles
Sierra Leone,sierra-leone
Singapore,singapore
Sint Maarten,sint-maarten
Slovakia,slovakia
Slovenia,slovenia
Solomon Islands,solomon-islands
Somalia,somalia
South Africa,south-africa
South Sudan,south-sudan
Spain,spain
Sri Lanka,sri-lanka
Saint Barth,saint-barthelemy
Saint Vincent Grenadines,saint-vincent-and-the-grenadines
Sudan,sudan
Suriname,suriname
Sweden,sweden
Switzerland,switzerland
Syria,syria
Taiwan,taiwan
Tajikistan,tajikistan
Tanzania,tanzania
Thailand,thailand
Timor-Leste,timor-leste
Togo,togo
Trinidad and Tobago,trinidad-and-tobago
Tunisia,tunisia
Turkey,turkey
Turks and Caicos,turks-and-caicos-islands
UAE,united-arab-emirates
Uganda,uganda
UK,uk
Ukraine,ukraine
Uruguay,uruguay
USA,us
Uzbekistan,uzbekistan
Vatican City,holy-see
Venezuela,venezuela
Vietnam,viet-nam
Wallis and Futuna,wallis-and-futuna-islands
Western Sahara,western-sahara
Yemen,yemen
Zambia,zambia
Zimbabwe,zimbabwe
